,Libro,Autor,Sinopsis
13,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Saul Craviotto,"El libro que te enseñará a afrontar momentos decisivos: Saúl se juega el trabajo de 4 años en apenas unos segundosAunque Saúl tiene un físico portentoso (mide 1,92 y pesa 98 kilos de puro músculo), hay otros piraguistas con tanta fuerza o mas que el que en los momentos decisivos no responden con la misma eficacia. ¿Cual es su secreto?En este libro, Craviotto nos explica que basa su preparacion en tres pilares, lo que denomina el triangulo del exito:- El cuerpo(pilar fisico)- La mente(pilar psiquico)- Las relaciones(pilar social)A diferencia de otros deportistas, que se centran unicamente en el cuerpo y en la tecnica propia de su deporte, Saul presta una enorme importancia a la preparacion mental y al entorno social. El equilibrio entre estos tres factores es lo que le permite dar lo mejor de si mismo en las citas clave.El libro nos desvela como trabaja Saul cada uno de estos tres pilares y los valores que presiden su trayectoria deportiva y su vida: disciplina, perseverancia, esfuerzo, responsabilidad, superacion, constancia y sacrificio."
14,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Saul Craviotto,"El nuevo libro de recetas de Karlos Arguiñano que nos hará la vida más fácil.En una época en la que apenas tenemos tiempo para pensar en qué comer, Karlos Arguiñano nos ofrece un nuevo recetario destinado a hacernos la vida mas facil, comoda y agradable. Un libro que nos acompaña en nuestro dia a dia y se adapta a cualquier momento y ocasion: 950 recetas rapidas, faciles y saludables que nos descubren el placer de cocinar, siempre a medida, y segun nuestras necesidades o nuestro estilo de vida. Un libro para todas las edades y para todos los niveles culinarios.Alcachofas con vinagreta de mostaza, salmon con aguacate y rucula o pavo relleno de datiles y champiñones. Platos faciles y rapidos, autenticos y saludables, con el sello inconfundible del cocinero mas famoso de la television.Volvemos a las librerias con un nuevo exito del cocinero mas premiado de la television"
15,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Saul Craviotto,"El arte de escoger y mezclar bien los ingredientes es uno de los secretos mejor guardados de la buena cocina. Su éxito depende de una variedad de texturas y sabores que, bien combinados, pueden tener un resultado explosivo. En este nuevo recetario de Karlos Arguiñano descubrirás qué ingredientes usar en tu día a día cuidando tu salud y con lo que tengas más a mano en la despensa o el frigorífico. Con un práctico índice de sugerencias clasificadas por ingredientes, estas 900 recetas superdeliciosas y fáciles te permitirán preparar completos menús que incluyen legumbres, carnes y aves, verduras y hortalizas, pescados, huevos, cereales, frutas y postres.Lentejas con calabacín y bolitas de boniato, boquerones a la sidra con ensalada de patata o flan de puerros y gambas. Platos de sencilla elaboración que siempre salen bien, auténticos y saludables, para disfrutar de la buena cocina casera."
16,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,"Hoy en día, debido a las diferentes ocupaciones, mucha gente no se puede permitir visitar el mercado a diario. Para facilitarnos la compra y saber lo que se puede cocinar según la estación del año en la que nos encontremos he seleccionado en este libro 300 recetas, ordenadas por temporada y clasificadas en primeros platos, segundos platos y postres. Platos sencillos y saludables para disfrutar todo el año de la buena cocina."
17,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,"Ya no tienes excusa. El popular cocinero te lo pone más fácil en este nuevo libro. Atrévete a cocinar es un método sencillo y práctico para aprender a cocinar 50 recetas de cocina casera. Recetas superfáciles, con las fotos del paso a paso para que no te pierdas. La cocina al alcance de cualquiera. Además Karlos Arguiñano nos da, junto a cada receta, un truco de cocina y un consejo a la hora de la compra. Un libro muy completo, práctico y sencillo. Aquí encontrarás todo lo necesario para saber como se fríe un huevo o como preparar unos excelentes macarrones con tomate."
18,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,"¿Sabíais que la sal era tan valiosa que se usaba como moneda? ¿Y que hay quien piensa que los plátanos son de origen extraterrestre? Parecen argumentos para una película, ¿verdad? Pues si queréis descubrir los secretos que se ocultan detrás de cada alimento, sumaros a la aventura de La cocina divertida de Karlos Arguiñano, un apasionante viaje por la historia de la cocina, en el que, además, conoceréis los trucos para preparar un montón de riquísimos platos para todos los gustos."
19,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,
20,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,"«El primer recuerdo que tengo cocinando, tendría entonces doce años, es en casa, siguiendo las indicaciones de mi madre para preparar una salsa de tomate y es que la cocina forma parte del patrimoni"
21,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,"Liburu honetan bildutako errezetak etxean erraz prestatzeko modukoak dira eta maitasun (edo mimo) pittin bat gehitu ezkero, lagun, senide eta familiakoentzako otordu ezin hobeak egingo dituzue."
22,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,"Somos lo que comemos y, por tanto, debemos preocuparnos por saber cómo nos alimentamos: conocer exactamente las propiedades nutricionales y dietéticas de las recetas, saber qué productos nos convienen más o menos. Eso es comer sano y con fundamento.En este libro encontrarás una selección de platos que son apropiados para personas que tienen que cuidar su alimentación, bien por diferentes problemas de salud, bien por prevención.200 recetas de Karlos Arguiñano analizadas y clasificadas por la Fundación Grande Covián, por su valor nutritivo y dietético. Ver otros libros de Cocina Sana"
23,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,
